,head,head_replaced,head_translated
0,foot,foot,脚
1,secure room,secure room,安全房
2,report,report,报告
3,avon lady,avon lady,雅芳女士
4,flower gardens,flower gardens,空中花园
5,mazda,mazda,马自达
6,psychic,psychic,灵魂的
7,hair,hair,头发
8,sideboard,sideboard,餐具柜
9,familly,familly,家庭
10,beetroot pickle,beetroot pickle,甜菜根泡菜
11,pedobear,pedobear,贝熊
12,syllabus,syllabus,教学大纲
13,calendar book,calendar book,日历簿
14,pronoun,pronoun,代词
15,pay slip,pay slip,工资单
16,mop,mop,拖把
17,atheist,atheist,无神论者
18,typewriter key,typewriter key,打字机键
19,tadpole,tadpole,蝌蚪
20,tabby cat,tabby cat,虎斑猫
21,harlot,harlot,妓女
22,social media,social media,社交媒体
23,visit museum,visit museum,参观博物馆
24,creaky porch,creaky porch,吱吱作响的门廊
25,flat surface,flat surface,平面
26,plastic cup,plastic cup,塑料杯
27,toxic waste,toxic waste,有毒废物
28,new page,new page,新的一页
29,wild mayhaw jelly,wild mayhaw jelly,野生梅豪果冻
30,livingroom,livingroom,客厅
31,policman,policman,警察
32,membrane,membrane,膜
33,get hot,get hot,变热
34,mannequin,mannequin,人体模型
35,prep cook,prep cook,预备厨师
36,mail woman,mail woman,邮递员
37,metal file,metal file,金属锉
38,good sex,good sex,好的性爱
39,lozenges,lozenges,含片
40,sedative,sedative,镇静剂
41,x ray machine,x ray machine,X射线机
42,new price tags,new price tags,新价签
43,dew in early morning,dew in early morning,清晨的露水
44,jewelry,jewelry,珠宝
45,pork chops,pork chops,猪排
46,sauce,sauce,调味汁
47,hardhat,hardhat,安全帽
48,underdog,underdog,弱者
49,widow,widow,寡妇
50,dampness,dampness,潮湿
51,blush,blush,脸红
52,sad,sad,悲伤的
53,cheerleading uniform,cheerleading uniform,啦啦队制服
54,jundge,jundge,jundge
55,pick penny off floor,pick penny off floor,从地板上捡硬币
56,guidebook,guidebook,指南
57,pitcher mound,pitcher mound,投手丘
58,tabarnacle,tabarnacle,塔巴尼克
59,blindfold,blindfold,蒙住…的眼睛
60,garden gloves,garden gloves,花园手套
61,stop sign,stop sign,停车标志
62,old cereal,old cereal,旧麦片
63,invertebrate,invertebrate,无脊椎动物
64,star,star,星
65,photograpy book,photograpy book,摄影手册
66,topcoat,topcoat,外套
67,set of notes,set of notes,一套注释
68,auto repair manual,auto repair manual,汽车维修手册
69,balloon,balloon,气球
70,envelope,envelope,信封
71,kangaroo rat,kangaroo rat,袋鼠鼠
72,dandruff shampoo,dandruff shampoo,去屑洗发水
73,sound system,sound system,音响系统
74,lock on door,lock on door,锁上门
75,cucumber,cucumber,黄瓜
76,stormcloud,stormcloud,暴风云
77,ebay account,ebay account,ebay帐户
78,careless person,careless person,粗心的人
79,cooks outfit,cooks outfit,厨师装
80,superhighway,superhighway,高速公路
81,white gloves,white gloves,白手套
82,lot of love,lot of love,很多爱
83,insecure person,insecure person,缺乏安全感的人
84,skillet,skillet,平底煎锅
85,racer,racer,赛车
86,burger,burger,汉堡
87,ghille suit,ghille suit,里尔套装
88,squirls,squirls,蠕动
89,flamable furniture,flamable furniture,可燃烧的家具
90,poultry,poultry,家禽
91,forms,forms,表格
92,musical instrument which,musical instrument which,乐器
93,some plates,some plates,一些盘子
94,airfoil,airfoil,机翼
95,tights,tights,紧身衣
96,usb drive,usb drive,优盘
97,go to baseball game,go to baseball game,去看棒球比赛
98,soft thing on stick,soft thing on stick,棍子上的软物
99,gravedigger,gravedigger,掘墓人
100,work room,work room,工作间
101,brochure,brochure,小册子
102,contemplate,contemplate,考虑
103,write up,write up,详细写出
104,comet,comet,彗星
105,erector set,erector set,安装装置
106,moldy food,moldy food,发霉食物
107,passpart,passpart,帕斯夸特
108,meatloaf,meatloaf,烘肉卷
109,penical,penical,潘尼克
110,broad knowledge,broad knowledge,广博的知识
111,liquid assets,liquid assets,流动资产
112,headgear,headgear,帽子
113,saxophone player,saxophone player,萨克斯手
114,capitalist society,capitalist society,资本主义社会
115,sling,sling,吊索
116,cook curry,cook curry,咖喱
117,treasure,treasure,财富
118,employee benefits,employee benefits,雇员福利
119,sevice,sevice,服务人员
120,influence politician,influence politician,有影响力的政治家
121,extra microphone,extra microphone,额外的麦克风
122,dress clothes,dress clothes,衣着
123,ankle braces,ankle braces,脚踝支架
124,spare room,spare room,客房
